Symbol,Company Name,Cap Category,Sector,ISIN,Date of Listing,Index Source
IOB,Indian Overseas Bank,Small Cap,Financial Services,INE565A01014,07-DEC-2000,Nifty Smallcap 250
IGL,Indraprastha Gas Limited,Small Cap,Oil Gas & Consumable Fuels,INE203G01027,26-DEC-2003,Nifty Smallcap 250
INOXWIND,Inox Wind Limited,Small Cap,Capital Goods,INE066P01011,09-APR-2015,Nifty Smallcap 250
INTELLECT,Intellect Design Arena Limited,Small Cap,Information Technology,INE306R01017,18-DEC-2014,Nifty Smallcap 250
IGIL,International Gemological Institute Limited,Small Cap,Services,INE0Q9301021,20-DEC-2024,Nifty Smallcap 250
IKS,Inventurus Knowledge Solutions Limited,Small Cap,Information Technology,INE115Q01022,19-DEC-2024,Nifty Smallcap 250
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,Small Cap,Healthcare,INE572A01036,29-APR-2003,Nifty Smallcap 250
JBMA,JBM Auto Limited,Small Cap,Automobile and Auto Components,INE927D01051,17-DEC-2004,Nifty Smallcap 250
JKTYRE,JK Tyre & Industries Limited,Small Cap,Automobile and Auto Components,INE573A01042,19-MAR-2007,Nifty Smallcap 250
JMFINANCIL,JM Financial Limited,Small Cap,Financial Services,INE780C01023,10-OCT-2006,Nifty Smallcap 250
JSWCEMENT,JSW Cement Limited,Small Cap,Construction Materials,INE718I01012,14-AUG-2025,Nifty Smallcap 250
JSWDULUX,JSW Dulux Limited,Small Cap,Consumer Durables,INE133A01011,28-JUN-2001,Nifty Smallcap 250
JAINREC,Jain Resource Recycling Limited,Small Cap,Metals & Mining,INE0YD401026,01-OCT-2025,Nifty Smallcap 250
JPPOWER,Jaiprakash Power Ventures Limited,Small Cap,Power,INE351F01018,18-APR-2005,Nifty Smallcap 250
J&KBANK,The Jammu & Kashmir Bank Limited,Small Cap,Financial Services,INE168A01041,22-JUL-1998,Nifty Smallcap 250
JINDALSAW,Jindal Saw Limited,Small Cap,Capital Goods,INE324A01032,29-APR-2003,Nifty Smallcap 250
JUBLINGREA,Jubilant Ingrevia Limited,Small Cap,Chemicals,INE0BY001018,19-MAR-2021,Nifty Smallcap 250
JUBLPHARMA,Jubilant Pharmova Limited,Small Cap,Healthcare,INE700A01033,16-JUN-2003,Nifty Smallcap 250
JWL,Jupiter Wagons Limited,Small Cap,Capital Goods,INE209L01016,18-OCT-2010,Nifty Smallcap 250
JYOTICNC,Jyoti CNC Automation Limited,Small Cap,Capital Goods,INE980O01024,16-JAN-2024,Nifty Smallcap 250
KAJARIACER,Kajaria Ceramics Limited,Small Cap,Consumer Durables,INE217B01036,01-JUN-2004,Nifty Smallcap 250
KPIL,Kalpataru Projects International Limited,Small Cap,Construction,INE220B01022,15-DEC-2000,Nifty Smallcap 250
KARURVYSYA,Karur Vysya Bank Limited,Small Cap,Financial Services,INE036D01028,26-JUL-2000,Nifty Smallcap 250
KAYNES,Kaynes Technology India Limited,Small Cap,Capital Goods,INE918Z01012,22-NOV-2022,Nifty Smallcap 250
KEC,KEC International Limited,Small Cap,Construction,INE389H01022,10-MAR-2006,Nifty Smallcap 250
KFINTECH,Kfin Technologies Limited,Small Cap,Financial Services,INE138Y01010,29-DEC-2022,Nifty Smallcap 250
KIRLOSENG,Kirloskar Oil Engines Limited,Small Cap,Capital Goods,INE146L01010,24-DEC-2010,Nifty Smallcap 250
KIMS,Krishna Institute of Medical Sciences Limited,Small Cap,Healthcare,INE967H01025,28-JUN-2021,Nifty Smallcap 250
LTFOODS,LT Foods Limited,Small Cap,Fast Moving Consumer Goods,INE818H01020,18-DEC-2006,Nifty Smallcap 250
LATENTVIEW,Latent View Analytics Limited,Small Cap,Information Technology,INE0I7C01011,23-NOV-2021,Nifty Smallcap 250
THELEELA,Leela Palaces Hotels & Resorts Limited,Small Cap,Consumer Services,INE0AQ201015,02-JUN-2025,Nifty Smallcap 250
LEMONTREE,Lemon Tree Hotels Limited,Small Cap,Consumer Services,INE970X01018,09-APR-2018,Nifty Smallcap 250
MMTC,MMTC Limited,Small Cap,Services,INE123F01029,09-APR-2012,Nifty Smallcap 250
MGL,Mahanagar Gas Limited,Small Cap,Oil Gas & Consumable Fuels,INE002S01010,01-JUL-2016,Nifty Smallcap 250
MANAPPURAM,Manappuram Finance Limited,Small Cap,Financial Services,INE522D01027,01-DEC-2014,Nifty Smallcap 250
