Symbol,Company Name,Cap Category,Sector,ISIN,Date of Listing,Index Source
MAXHEALTH,Max Healthcare Institute Limited,Large Cap,Healthcare,INE027H01010,21-AUG-2020,Nifty 100
MAZDOCK,Mazagon Dock Shipbuilders Limited,Large Cap,Capital Goods,INE249Z01020,12-OCT-2020,Nifty 100
MUTHOOTFIN,Muthoot Finance Limited,Large Cap,Financial Services,INE414G01012,06-MAY-2011,Nifty 100
NTPC,NTPC Limited,Large Cap,Power,INE733E01010,05-NOV-2004,Nifty 100
NESTLEIND,Nestle India Limited,Large Cap,Fast Moving Consumer Goods,INE239A01024,01-AUG-2023,Nifty 100
ONGC,Oil & Natural Gas Corporation Limited,Large Cap,Oil Gas & Consumable Fuels,INE213A01029,19-JUL-1995,Nifty 100
PIDILITIND,Pidilite Industries Limited,Large Cap,Chemicals,INE318A01026,29-MAR-1995,Nifty 100
PFC,Power Finance Corporation Limited,Large Cap,Financial Services,INE134E01011,23-FEB-2007,Nifty 100
POWERGRID,Power Grid Corporation of India Limited,Large Cap,Power,INE752E01010,05-OCT-2007,Nifty 100
PNB,Punjab National Bank,Large Cap,Financial Services,INE160A01022,24-APR-2002,Nifty 100
RECLTD,REC Limited,Large Cap,Financial Services,INE020B01018,12-MAR-2008,Nifty 100
RELIANCE,Reliance Industries Limited,Large Cap,Oil Gas & Consumable Fuels,INE002A01018,29-NOV-1995,Nifty 100
SBILIFE,SBI Life Insurance Company Limited,Large Cap,Financial Services,INE123W01016,03-OCT-2017,Nifty 100
MOTHERSON,Samvardhana Motherson International Limited,Large Cap,Automobile and Auto Components,INE775A01035,14-AUG-1996,Nifty 100
SHREECEM,SHREE CEMENT LIMITED,Large Cap,Construction Materials,INE070A01015,26-APR-1995,Nifty 100
SHRIRAMFIN,Shriram Finance Limited,Large Cap,Financial Services,INE721A01047,11-DEC-1996,Nifty 100
ENRIN,Siemens Energy India Limited,Large Cap,Capital Goods,INE1NPP01017,19-JUN-2025,Nifty 100
SIEMENS,Siemens Limited,Large Cap,Capital Goods,INE003A01024,06-SEP-1995,Nifty 100
SOLARINDS,Solar Industries India Limited,Large Cap,Chemicals,INE343H01029,03-APR-2006,Nifty 100
SBIN,State Bank of India,Large Cap,Financial Services,INE062A01020,01-MAR-1995,Nifty 100
SUNPHARMA,Sun Pharmaceutical Industries Limited,Large Cap,Healthcare,INE044A01036,08-FEB-1995,Nifty 100
TVSMOTOR,TVS Motor Company Limited,Large Cap,Automobile and Auto Components,INE494B01023,02-AUG-2000,Nifty 100
TATACAP,Tata Capital Limited,Large Cap,Financial Services,INE976I01016,13-OCT-2025,Nifty 100
TCS,Tata Consultancy Services Limited,Large Cap,Information Technology,INE467B01029,25-AUG-2004,Nifty 100
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,Large Cap,Fast Moving Consumer Goods,INE192A01025,18-NOV-1998,Nifty 100
TMCV,Tata Motors Limited,Large Cap,Capital Goods,INE1TAE01010,12-NOV-2025,Nifty 100
