Symbol,Company Name,Cap Category,Sector,ISIN,Date of Listing,Index Source
AKASH,Akash Infra-Projects Limited,Micro Cap,Construction & Infrastructure,INE737W01013,11-OCT-2019,EQUITY_L (beyond Nifty 500)
AKCAPIT,AK Capital Services Limited,Micro Cap,Financial Services,INE701G01012,20-APR-2026,EQUITY_L (beyond Nifty 500)
AKG,Akg Exim Limited,Micro Cap,Others / Diversified,INE00Y801016,16-FEB-2021,EQUITY_L (beyond Nifty 500)
AKI,AKI India Limited,Micro Cap,Others / Diversified,INE642Z01026,06-APR-2023,EQUITY_L (beyond Nifty 500)
AKSHAR,Akshar Spintex Limited,Micro Cap,Others / Diversified,INE256Z01025,23-MAY-2022,EQUITY_L (beyond Nifty 500)
AKSHARCHEM,AksharChem India Limited,Micro Cap,Others / Diversified,INE542B01011,28-MAR-2017,EQUITY_L (beyond Nifty 500)
AKSHOPTFBR,Aksh Optifibre Limited,Micro Cap,Textiles & Apparel,INE523B01011,18-AUG-2000,EQUITY_L (beyond Nifty 500)
AKUMS,Akums Drugs and Pharmaceuticals Limited,Micro Cap,Healthcare,INE09XN01023,06-AUG-2024,Nifty Microcap 250
ALANKIT,Alankit Limited,Micro Cap,Others / Diversified,INE914E01040,30-JUN-2015,EQUITY_L (beyond Nifty 500)
ALBERTDAVD,Albert David Limited,Micro Cap,Others / Diversified,INE155C01010,14-JUN-2016,EQUITY_L (beyond Nifty 500)
ALEMBICLTD,Alembic Limited,Micro Cap,Others / Diversified,INE426A01027,22-SEP-1999,EQUITY_L (beyond Nifty 500)
ALGOQUANT,Algoquant Fintech Limited,Micro Cap,Financial Services,INE598D01035,06-JAN-2026,EQUITY_L (beyond Nifty 500)
ALICON,Alicon Castalloy Limited,Micro Cap,Metals & Mining,INE062D01024,29-SEP-2006,EQUITY_L (beyond Nifty 500)
ALIVUS,Alivus Life Sciences Limited,Micro Cap,Healthcare,INE03Q201024,06-AUG-2021,Nifty Microcap 250
ALKALI,Alkali Metals Limited,Micro Cap,Metals & Mining,INE773I01017,06-NOV-2008,EQUITY_L (beyond Nifty 500)
ALKYLAMINE,Alkyl Amines Chemicals Limited,Micro Cap,Chemicals,INE150B01039,26-NOV-2007,Nifty Microcap 250
ALLCARGO,Allcargo Logistics Limited,Micro Cap,Automobile & Auto Components,INE418H01029,23-JUN-2006,EQUITY_L (beyond Nifty 500)
ALLDIGI,Alldigi Tech Limited,Micro Cap,Information Technology,INE835G01018,09-MAY-2005,EQUITY_L (beyond Nifty 500)
ALLTIME,All Time Plastics Limited,Micro Cap,Chemicals,INE0GV601021,14-AUG-2025,EQUITY_L (beyond Nifty 500)
ALMONDZ,Almondz Global Securities Limited,Micro Cap,Financial Services,INE326B01035,16-JUN-2008,EQUITY_L (beyond Nifty 500)
ALOKINDS,Alok Industries Limited,Micro Cap,Textiles,INE270A01029,19-FEB-2020,Nifty Microcap 250
ALPA,Alpa Laboratories Limited,Micro Cap,Healthcare & Pharma,INE385I01010,06-AUG-2007,EQUITY_L (beyond Nifty 500)
ALPHAGEO,Alphageo (India) Limited,Micro Cap,Others / Diversified,INE137C01018,11-MAY-2007,EQUITY_L (beyond Nifty 500)
AMAGI,Amagi Media Labs Limited,Micro Cap,Healthcare & Pharma,INE121R01077,21-JAN-2026,EQUITY_L (beyond Nifty 500)
AMANTA,Amanta Healthcare Limited,Micro Cap,Healthcare & Pharma,INE084K01015,09-SEP-2025,EQUITY_L (beyond Nifty 500)
AMBALALSA,Ambalal Sarabhai Enterprises Limited,Micro Cap,Information Technology,INE432A01017,20-APR-2026,EQUITY_L (beyond Nifty 500)
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,Micro Cap,Others / Diversified,INE792B01012,29-JUN-2004,EQUITY_L (beyond Nifty 500)
AMBIKCO,Ambika Cotton Mills Limited,Micro Cap,Textiles & Apparel,INE540G01014,29-JAN-2008,EQUITY_L (beyond Nifty 500)
AMDIND,AMD Industries Limited,Micro Cap,Others / Diversified,INE005I01014,19-MAR-2007,EQUITY_L (beyond Nifty 500)
AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited,Micro Cap,Logistics & Transportation,INE05TO01019,02-APR-2026,EQUITY_L (beyond Nifty 500)
AMJLAND,Amj Land Holdings Limited,Micro Cap,Others / Diversified,INE606A01024,08-FEB-1995,EQUITY_L (beyond Nifty 500)
AMNPLST,Amines & Plasticizers Limited,Micro Cap,Chemicals,INE275D01022,10-NOV-2023,EQUITY_L (beyond Nifty 500)
